GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NewDMApp,business.fornitura,RichiestaAcquisto,38,46,0,0,4,19,3,10,3,10
NewDMApp,persistenza,DatabaseConnection,19,46,0,6,8,21,0,9,0,6
NewDMApp,business.inventario,Prodotto,7,254,1,21,3,62,3,36,2,26
NewDMApp,business.inventario,MagazzinoController,390,601,0,48,148,163,70,61,70,37
NewDMApp,persistenza.dao,RichiestaAcquistoDao,11,55,0,0,4,14,1,1,1,1
NewDMApp,persistenza.dao,ElencaDao,19,81,0,4,7,22,1,4,1,2
NewDMApp,persistenza.dao,TicketDao,19,171,0,2,7,37,1,3,1,2
NewDMApp,persistenza.dao,UtenteDao,11,48,0,2,4,11,1,2,1,1
NewDMApp,persistenza.dao,ProdottoDao,59,184,0,2,18,55,1,7,1,6
NewDMApp,persistenza.dao,ScontrinoDao,19,108,0,4,7,30,1,4,1,2
NewDMApp,business.assistenza,Ticket,101,157,0,0,4,62,3,29,3,29
NewDMApp,business.assistenza,AssistenzaController,50,268,0,34,20,79,13,33,13,16
NewDMApp,business.utenza,Utente,46,33,0,0,11,18,7,8,7,8
NewDMApp,business.utenza,UtenzaController,69,57,0,12,28,22,9,14,9,8
NewDMApp,presentazione,App,36,18,0,0,10,2,4,1,4,1
NewDMApp,presentazione,AlertMessage,3,2,0,0,1,2,1,2,1,2
NewDMApp,business.cassa,CassaController,51,165,0,18,26,53,7,26,7,17
NewDMApp,business.cassa,Scontrino,46,225,0,6,1,56,1,21,1,18
NewDMApp,exceptions,UtenteException,0,6,0,0,0,3,0,1,0,1
NewDMApp,exceptions,UtenteNotAuthorizedException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,ScontrinoNotFoundException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,UtenteNotFoundException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,DatabaseException,0,6,0,0,0,3,0,1,0,1
NewDMApp,exceptions,ScontrinoNonValidoException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,TicketNotFoundException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,ProdottoNotFoundException,0,4,0,0,0,2,0,1,0,1
NewDMApp,exceptions,ElencaException,0,6,0,0,0,3,0,1,0,1
NewDMApp,exceptions,ScontrinoException,0,6,0,0,0,3,0,1,0,1
NewDMApp,exceptions,TicketException,0,6,0,0,0,3,0,1,0,1
NewDMApp,exceptions,ProdottoException,0,6,0,0,0,3,0,1,0,1
